"","Episode","Series","NChars","N_F"
"160","EPMA0000019791","TNG",21,4
"161","EPMA0000000505","TNG",17,1
"162","EPMA0000001430","TNG",14,1
"163","EPMA0000001363","TNG",12,2
"164","EPMA0000001389","TNG",18,6
"165","EPMA0000001384","TNG",22,6
"166","EPMA0000001446","TNG",11,3
"167","EPMA0000001371","TNG",21,5
"168","EPMA0000001402","TNG",16,2
"169","EPMA0000001456","TNG",11,2
"170","EPMA0000048073","TNG",12,2
"171","EPMA0000001333","TNG",12,3
"172","EPMA0000001388","TNG",18,7
"173","EPMA0000001432","TNG",11,2
"174","EPMA0000001360","TNG",19,3
"175","EPMA0000001365","TNG",19,3
"176","EPMA0000001342","TNG",20,2
"177","EPMA0000000970","DS9",19,4
"178","EPMA0000000916","DS9",16,3
"179","EPMA0000000874","DS9",9,4
"180","EPMA0000000969","DS9",18,6
"181","EPMA0000000933","DS9",16,4
"182","EPMA0000001002","DS9",16,3
"183","EPMA0000000845","DS9",13,3
"184","EPMA0000000946","DS9",13,4
"185","EPMA0000000885","DS9",14,3
"186","EPMA0000034398","DS9",10,3
"187","EPMA0000000929","DS9",14,4
"188","EPMA0000000889","DS9",3,1
"189","EPMA0000000905","DS9",13,4
"190","EPMA0000000850","DS9",17,3
"191","EPMA0000000974","DS9",15,3
"192","EPMA0000000533","DS9",15,4
"193","EPMA0000038489","DS9",13,4
"194","EPMA0000000888","DS9",14,4
"195","EPMA0000000844","DS9",11,3
"196","EPMA0000067906","DS9",15,3
"197","EPMA0000000958","DS9",17,4
"198","EPMA0000000940","DS9",14,2
"199","EPMA0000000911","DS9",14,4
"200","EPMA0000000978","DS9",10,1
"201","EPMA0000000861","DS9",19,4
"202","EPMA0000028053","DS9",13,3
"203","EPMA0000000941","DS9",9,2
"204","EPMA0000000963","DS9",16,4
"205","EPMA0000000993","DS9",15,4
"206","EPMA0000008456","DS9",12,3
"207","EPMA0000000951","DS9",13,2
"208","EPMA0000000849","DS9",15,2
"209","EPMA0000001105","DS9",15,4
"210","EPMA0000000898","DS9",13,5
"211","EPMA0000000992","DS9",14,3
"212","EPMA0000000354","DS9",19,4
"213","EPMA0000000985","DS9",19,5
"214","EPMA0000000991","DS9",17,5
"215","EPMA0000000870","DS9",15,5
"216","EPMA0000001008","DS9",10,4
"217","EPMA0000000906","DS9",12,2
"218","EPMA0000000943","DS9",11,2
"219","EPMA0000000865","DS9",13,3
"220","EPMA0000013354","DS9",13,2
"221","EPMA0000000973","DS9",21,5
"222","EPMA0000000876","DS9",13,2
"223","EPMA0000000851","DS9",11,4
"224","EPMA0000000944","DS9",11,2
"225","EPMA0000000950","DS9",14,4
"226","EPMA0000025195","DS9",11,2
"227","EPMA0000000858","DS9",15,4
"228","EPMA0000000893","DS9",12,3
"229","EPMA0000000912","DS9",14,2
"230","EPMA0000000921","DS9",14,2
"231","EPMA0000000863","DS9",11,4
"232","EPMA0000000976","DS9",8,2
"233","EPMA0000000895","DS9",13,4
"234","EPMA0000001009","DS9",28,7
"235","EPMA0000000938","DS9",12,3
"236","EPMA0000000997","DS9",16,2
"237","EPMA0000000890","DS9",9,2
"238","EPMA0000001006","DS9",19,2
"239","EPMA0000000979","DS9",11,3
"240","EPMA0000000855","DS9",16,5
"241","EPMA0000000887","DS9",14,4
"242","EPMA0000000846","DS9",11,4
"243","EPMA0000000856","DS9",10,2
"244","EPMA0000001001","DS9",18,6
"245","EPMA0000000959","DS9",13,2
"246","EPMA0000000980","DS9",15,4
"247","EPMA0000000852","DS9",13,3
"248","EPMA0000000961","DS9",19,3
"249","EPMA0000057181","DS9",18,3
"250","EPMA0000000878","DS9",11,2
"251","EPMA0000000996","DS9",14,3
"252","EPMA0000000693","DS9",8,1
"253","EPMA0000000986","DS9",17,5
"254","EPMA0000000995","DS9",10,2
"255","EPMA0000000848","DS9",11,2
"256","EPMA0000000948","DS9",15,3
"257","EPMA0000000847","DS9",12,3
"258","EPMA0000000965","DS9",23,6
"259","EPMA0000108317","DS9",15,5
"260","EPMA0000000742","DS9",9,2
"261","EPMA0000000914","DS9",15,3
"262","EPMA0000000908","DS9",21,6
"263","EPMA0000000853","DS9",15,3
"264","EPMA0000000988","DS9",14,3
"265","EPMA0000000915","DS9",14,2
"266","EPMA0000000957","DS9",14,2
"267","EPMA0000000869","DS9",21,5
"268","EPMA0000000954","DS9",17,4
"269","EPMA0000000857","DS9",15,3
"270","EPMA0000057346","DS9",8,2
"271","EPMA0000000886","DS9",11,3
"272","EPMA0000000967","DS9",17,5
"273","EPMA0000000937","DS9",12,4
"274","EPMA0000000939","DS9",14,4
"275","EPMA0000000932","DS9",10,2
"276","EPMA0000000920","DS9",14,3
"277","EPMA0000000982","DS9",16,6
"278","EPMA0000058490","DS9",4,1
"279","EPMA0000000964","DS9",17,3
"280","EPMA0000000923","DS9",14,2
"281","EPMA0000000949","DS9",14,3
"282","EPMA0000000867","DS9",11,3
"283","EPMA0000000999","DS9",17,2
"284","EPMA0000000903","DS9",4,1
"285","EPMA0000000860","DS9",4,0
"286","EPMA0000067222","DS9",6,1
"287","EPMA0000012112","DS9",10,2
"288","EPMA0000000998","DS9",10,2
"289","EPMA0000001010","DS9",21,5
"290","EPMA0000000913","DS9",13,3
"291","EPMA0000000928","DS9",8,2
"292","EPMA0000000862","DS9",3,1
"293","EPMA0000000879","DS9",15,4
"294","EPMA0000000894","DS9",12,5
"295","EPMA0000000987","DS9",11,2
"296","EPMA0000000990","DS9",13,2
"297","EPMA0000000983","DS9",3,2
"298","EPMA0000000981","DS9",19,5
"299","EPMA0000000927","DS9",15,5
"300","EPMA0000000649","DS9",12,2
"301","EPMA0000000891","DS9",12,4
"302","EPMA0000000866","DS9",16,4
"303","EPMA0000000884","DS9",12,3
"304","EPMA0000000859","DS9",15,3
"305","EPMA0000000955","DS9",14,3
"306","EPMA0000000902","DS9",4,0
"307","EPMA0000000994","DS9",12,3
"308","EPMA0000000934","DS9",13,4
"309","EPMA0000000868","DS9",9,2
"310","EPMA0000001004","DS9",19,4
"311","EPMA0000000975","DS9",14,2
"312","EPMA0000000880","DS9",7,3
"313","EPMA0000000892","DS9",11,2
"314","EPMA0000000871","DS9",10,2
"315","EPMA0000000936","DS9",11,3
"316","EPMA0000000877","DS9",15,4
"317","EPMA0000000854","DS9",15,3
"318","EPMA0000000897","DS9",10,2
"319","EPMA0000000901","DS9",11,3
"320","EPMA0000000909","DS9",2,0
"321","EPMA0000000873","DS9",14,5
"322","EPMA0000000962","DS9",16,4
"323","EPMA0000000899","DS9",13,3
"324","EPMA0000000910","DS9",18,2
"325","EPMA0000001007","DS9",17,3
"326","EPMA0000000953","DS9",14,2
"327","EPMA0000000931","DS9",14,5
"328","EPMA0000000945","DS9",15,4
"329","EPMA0000000900","DS9",7,1
"330","EPMA0000001003","DS9",12,2
"331","EPMA0000000977","DS9",17,4
"332","EPMA0000000532","DS9",14,5
"333","EPMA0000000924","DS9",16,3
"334","EPMA0000000966","DS9",19,5
"335","EPMA0000000918","DS9",17,2
"336","EPMA0000000935","DS9",19,2
"337","EPMA0000004809","DS9",15,3
"338","EPMA0000000925","DS9",18,7
